排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 5412U,1,3319,61755,48
2,Intel(R) Xeon(R) Gold 5412U,1,3312,62154,48
3,Intel(R) Xeon(R) Gold 5412U,1,3212,61313,48
4,Intel(R) Xeon(R) Gold 5412U,1,2654,56860,48
5,Intel(R) Xeon(R) Gold 5412U,2,2476,4234,2
6,Intel(R) Xeon(R) Gold 5412U,2,2450,3524,2
7,Intel(R) Xeon(R) Gold 5412U,2,2449,3537,2
8,Intel(R) Xeon(R) Gold 5412U,2,2180,3520,2
9,Intel(R) Xeon(R) Gold 5412U,2,1795,4240,2
10,Intel(R) Xeon(R) Gold 5412U,2,1792,3565,2
11,Intel(R) Xeon(R) Gold 5412U,2,1788,3566,2
12,Intel(R) Xeon(R) Gold 5412U,2,1787,3520,2
13,Intel(R) Xeon(R) Gold 5412U,2,1784,3559,2
14,Intel(R) Xeon(R) Gold 5412U,2,1783,3550,2
15,Intel(R) Xeon(R) Gold 5412U,2,1778,3555,2
16,Intel(R) Xeon(R) Gold 5412U,2,1777,3521,2
17,Intel(R) Xeon(R) Gold 5412U,2,1774,3516,2
18,Intel(R) Xeon(R) Gold 5412U,2,1770,3515,2
19,Intel(R) Xeon(R) Gold 5412U,2,1768,3452,2
20,Intel(R) Xeon(R) Gold 5412U,2,1766,3526,2
21,Intel(R) Xeon(R) Gold 5412U,2,1766,3564,2
22,Intel(R) Xeon(R) Gold 5412U,2,1766,3508,2
23,Intel(R) Xeon(R) Gold 5412U,2,1764,3507,2
24,Intel(R) Xeon(R) Gold 5412U,3,1763,5269,3
25,Intel(R) Xeon(R) Gold 5412U,2,1762,3534,2
26,Intel(R) Xeon(R) Gold 5412U,2,1761,3482,2
27,Intel(R) Xeon(R) Gold 5412U,4,1760,6408,4
28,Intel(R) Xeon(R) Gold 5412U,2,1758,3530,2
29,Intel(R) Xeon(R) Gold 5412U,2,1755,3569,2
30,Intel(R) Xeon(R) Gold 5412U,3,1755,5885,3
31,Intel(R) Xeon(R) Gold 5412U,2,1743,4105,2
32,Intel(R) Xeon(R) Gold 5412U,2,1683,3285,2
